age,education,sex,relationship,marital-status,income
26.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
26.0,HS-grad,Male,Not-in-family,Divorced,<=50K
55.0,HS-grad,Male,Husband,Married-civ-spouse,>50K
31.0,Assoc-acdm,Male,Not-in-family,Never-married,<=50K
18.0,Some-college,Female,Own-child,Never-married,<=50K
21.0,Bachelors,Female,Wife,Married-civ-spouse,<=50K
52.0,HS-grad,Female,Wife,Married-civ-spouse,>50K
40.0,HS-grad,Female,Unmarried,Divorced,<=50K
55.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
65.0,Some-college,Female,Not-in-family,Never-married,<=50K
57.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
69.0,HS-grad,Male,Not-in-family,Never-married,<=50K
54.0,Bachelors,Male,Other-relative,Divorced,<=50K
57.0,Masters,Male,Husband,Married-civ-spouse,>50K
28.0,Some-college,Male,Husband,Married-civ-spouse,<=50K
40.0,Some-college,Male,Husband,Married-civ-spouse,>50K
46.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
44.0,Some-college,Female,Unmarried,Widowed,<=50K
33.0,Assoc-voc,Female,Wife,Married-civ-spouse,<=50K
21.0,Some-college,Male,Not-in-family,Never-married,<=50K
24.0,HS-grad,Male,Other-relative,Never-married,<=50K
60.0,9th,Female,Not-in-family,Widowed,<=50K
24.0,Some-college,Male,Own-child,Never-married,<=50K
30.0,Some-college,Male,Own-child,Never-married,<=50K
33.0,Assoc-acdm,Male,Not-in-family,Never-married,<=50K
56.0,Some-college,Female,Unmarried,Widowed,<=50K
20.0,HS-grad,Female,Own-child,Never-married,<=50K
43.0,HS-grad,Female,Wife,Married-civ-spouse,>50K
47.0,HS-grad,Male,Husband,Married-civ-spouse,>50K
52.0,Assoc-voc,Male,Own-child,Never-married,<=50K
40.0,Assoc-acdm,Male,Husband,Married-civ-spouse,<=50K
41.0,HS-grad,Male,Not-in-family,Never-married,<=50K
46.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
30.0,Masters,Female,Not-in-family,Divorced,>50K
30.0,Bachelors,Female,Not-in-family,Divorced,>50K
43.0,HS-grad,Female,Not-in-family,Never-married,<=50K
57.0,12th,Male,Husband,Married-civ-spouse,<=50K
56.0,HS-grad,Female,Husband,Divorced,<=50K
