,row,label
0,essa porra de note não está ligando caraio...!,2
1,oi,1
2,"Olá, formatei o meu Lenovo Yoga e instalei o Windows 10, porém não consigo configurar a entrada por digital. VocÊ pode me ajudar?",1
3,"como atualizo a bios update, ta pedindo para atualizar , o aplicativo leno vantage",1
4,como atualiza bios update,1
5,a tecla do número 3 também não funciona,1
6,Ola bom dia...,1
7,Sim...envio em 10min,1
8,Bot zoado,2
9,não me ajudou,1
10,Pedido 4334381401,1
11,Já foi feito 2 vezes a formatação do aparelho e já foi para fábrica . Pelo acesso remoto voces conseguiriam ver na prática,1
12,/reset,1
13,"Olá, bom dia!",1
14,Bom dia! É possível comprar um IDEAPAD 330S com armazenamento HD 1TB + 128 GB SSD?,1
15,"Eu só gostaria de saber como manter a licença do Windows após a formatação, vocês teriam algum tutorial?",1
16,Bom dia. Eu fiquei sem celular um tempo e nao tinha como ter acesso aqui. Mas vou fazer o processo.,1
17,"Já tenho um e gostei bastante, mas, busco um com preço bem acessivel",1
18,"melhor ganhar doque comprar, me arrisco nesse atrevimento! e bom dia.to",1
19,"Nada por enquanto e foi um prazer falar com vçs da LENOVO, bom dia abraços",0
20,Valeu obrigado.,0
21,"Nada disso, tudo certo obigado",0
22,OK,1
23,Não,1
24,"Alguns arquivos de vídeo rodam normalmente, sem falhas, até mais de um seguido. Porém, já aconteceu umas dez vezes, do vídeo travar e sair um som repetitivo de travamento. Só resolve apertando o botão desligar por alguns segundos e o computador desliga. Não consigo fazer qualquer outra coisa a não ser desligando-te",1
25,Quando eu achar respondo OK?,1
26,Bom dia!,1
27,Preciso de adaptadores de Energia para o computador X280.,1
28,parece de algum recurso q a Lenovo colocou,1
29,como faço para q não apareça?,1
30,O status ainda permanece como: Em análise de crédito. Por favor entre em contato com o suporte ao consumidor para mais informações ou ajuda.,1
31,"ok, obrigada!",0
32,Esse valor seria para toda a carcaça?,1
33,ja fiz o processo pelo computador mesmo,1
34,Como faço para contratar este serviço?,1
35,Meu computador esta com problema na antena Wi-fi e voces tinham me mandado um link para acessar por aqui para vcs poderem verificar. O processo ja foi feito,1
36,PE03YPPN,1
37,"ok, só um momento.",1
38,Eu não entendi muito bem como será feito o serviço. Vou contratar e depois a Lenovo envia um código para eu postar a máquina?,1
39,Nesse valor estão inclusos o custo do envio?,1
40,"ok obrigado, enviarei o e-mail.",0
41,ok,1
42,Estou com o produto,1
43,Mas aonde esta ???,1
44,Meu notebook não está carregando,1
45,Na tela inicial apenas tentando carregar as informações.,1
46,Está com problema na entrada do cabo,1
47,Okay,1
48,Te alguma autorizada no rio de janeiro?,1
49,Encontrei mais etiquetas nos manuais,1
50,"Ola, bom dia! Comprei um Le Novo ideapad",1
51,"Então, preciso aguardar alguns dias para conseguir outra máquina.",1
52,PF1LRA20,1
